Strony w buforze po odwo³aniu do strony 3: [3]
Strony w buforze po odwo³aniu do strony 5: [3, 5]
Strony w buforze po odwo³aniu do strony 4: [3, 5, 4]
Strony w buforze po odwo³aniu do strony 5: [3, 5, 4]
Strony w buforze po odwo³aniu do strony 4: [3, 5, 4]
Strony w buforze po odwo³aniu do strony 6: [3, 5, 4, 6]
Strony w buforze po odwo³aniu do strony 6: [3, 5, 4, 6]
Strony w buforze po odwo³aniu do strony 5: [3, 5, 4, 6]
Strony w buforze po odwo³aniu do strony 1: [5, 4, 6, 1]
Strony w buforze po odwo³aniu do strony 8: [4, 6, 1, 8]
Strony w buforze po odwo³aniu do strony 1: [4, 6, 1, 8]
Strony w buforze po odwo³aniu do strony 8: [4, 6, 1, 8]
Strony w buforze po odwo³aniu do strony 9: [6, 1, 8, 9]
Strony w buforze po odwo³aniu do strony 8: [6, 1, 8, 9]
Strony w buforze po odwo³aniu do strony 1: [6, 1, 8, 9]
Strony w buforze po odwo³aniu do strony 1: [6, 1, 8, 9]
Strony w buforze po odwo³aniu do strony 6: [6, 1, 8, 9]
Strony w buforze po odwo³aniu do strony 3: [1, 8, 9, 3]
Strony w buforze po odwo³aniu do strony 4: [8, 9, 3, 4]
Strony w buforze po odwo³aniu do strony 0: [9, 3, 4, 0]
Strony w buforze po odwo³aniu do strony 4: [9, 3, 4, 0]
Strony w buforze po odwo³aniu do strony 3: [9, 3, 4, 0]
Strony w buforze po odwo³aniu do strony 5: [3, 4, 0, 5]
Strony w buforze po odwo³aniu do strony 2: [4, 0, 5, 2]
Strony w buforze po odwo³aniu do strony 7: [0, 5, 2, 7]
Strony w buforze po odwo³aniu do strony 2: [0, 5, 2, 7]
Strony w buforze po odwo³aniu do strony 6: [5, 2, 7, 6]
Strony w buforze po odwo³aniu do strony 8: [2, 7, 6, 8]
Strony w buforze po odwo³aniu do strony 2: [2, 7, 6, 8]
Strony w buforze po odwo³aniu do strony 7: [2, 7, 6, 8]
Strony w buforze po odwo³aniu do strony 5: [7, 6, 8, 5]
Strony w buforze po odwo³aniu do strony 1: [6, 8, 5, 1]
Strony w buforze po odwo³aniu do strony 4: [8, 5, 1, 4]
Strony w buforze po odwo³aniu do strony 4: [8, 5, 1, 4]
Strony w buforze po odwo³aniu do strony 5: [8, 5, 1, 4]
Strony w buforze po odwo³aniu do strony 0: [5, 1, 4, 0]
Strony w buforze po odwo³aniu do strony 3: [1, 4, 0, 3]
Strony w buforze po odwo³aniu do strony 8: [4, 0, 3, 8]
Strony w buforze po odwo³aniu do strony 4: [4, 0, 3, 8]
Strony w buforze po odwo³aniu do strony 9: [0, 3, 8, 9]
Strony w buforze po odwo³aniu do strony 6: [3, 8, 9, 6]
Strony w buforze po odwo³aniu do strony 9: [3, 8, 9, 6]
Strony w buforze po odwo³aniu do strony 6: [3, 8, 9, 6]
Strony w buforze po odwo³aniu do strony 2: [8, 9, 6, 2]
Strony w buforze po odwo³aniu do strony 9: [8, 9, 6, 2]
Strony w buforze po odwo³aniu do strony 3: [9, 6, 2, 3]
Strony w buforze po odwo³aniu do strony 5: [6, 2, 3, 5]
Strony w buforze po odwo³aniu do strony 6: [6, 2, 3, 5]
Strony w buforze po odwo³aniu do strony 5: [6, 2, 3, 5]
Strony w buforze po odwo³aniu do strony 8: [2, 3, 5, 8]
Liczba b³êdów stron: 27
