Strony w buforze po odwo³aniu do strony 3: [3]
Strony w buforze po odwo³aniu do strony 5: [3, 5]
Strony w buforze po odwo³aniu do strony 4: [3, 5, 4]
Strony w buforze po odwo³aniu do strony 5: [3, 5, 4]
Strony w buforze po odwo³aniu do strony 4: [3, 5, 4]
Strony w buforze po odwo³aniu do strony 6: [3, 5, 6]
Strony w buforze po odwo³aniu do strony 6: [3, 5, 6]
Strony w buforze po odwo³aniu do strony 5: [3, 5, 6]
Strony w buforze po odwo³aniu do strony 1: [3, 6, 1]
Strony w buforze po odwo³aniu do strony 8: [3, 1, 8]
Strony w buforze po odwo³aniu do strony 1: [3, 1, 8]
Strony w buforze po odwo³aniu do strony 8: [3, 1, 8]
Strony w buforze po odwo³aniu do strony 9: [3, 1, 9]
Strony w buforze po odwo³aniu do strony 8: [3, 9, 8]
Strony w buforze po odwo³aniu do strony 1: [3, 9, 1]
Strony w buforze po odwo³aniu do strony 1: [3, 9, 1]
Strony w buforze po odwo³aniu do strony 6: [3, 9, 6]
Strony w buforze po odwo³aniu do strony 3: [3, 9, 6]
Strony w buforze po odwo³aniu do strony 4: [3, 9, 4]
Strony w buforze po odwo³aniu do strony 0: [3, 9, 0]
Strony w buforze po odwo³aniu do strony 4: [9, 0, 4]
Strony w buforze po odwo³aniu do strony 3: [9, 0, 3]
Strony w buforze po odwo³aniu do strony 5: [9, 0, 5]
Strony w buforze po odwo³aniu do strony 2: [9, 0, 2]
Strony w buforze po odwo³aniu do strony 7: [9, 0, 7]
Strony w buforze po odwo³aniu do strony 2: [9, 0, 2]
Strony w buforze po odwo³aniu do strony 6: [9, 0, 6]
Strony w buforze po odwo³aniu do strony 8: [9, 0, 8]
Strony w buforze po odwo³aniu do strony 2: [9, 0, 2]
Strony w buforze po odwo³aniu do strony 7: [9, 0, 7]
Strony w buforze po odwo³aniu do strony 5: [9, 0, 5]
Strony w buforze po odwo³aniu do strony 1: [9, 0, 1]
Strony w buforze po odwo³aniu do strony 4: [9, 0, 4]
Strony w buforze po odwo³aniu do strony 4: [9, 0, 4]
Strony w buforze po odwo³aniu do strony 5: [9, 0, 5]
Strony w buforze po odwo³aniu do strony 0: [9, 0, 5]
Strony w buforze po odwo³aniu do strony 3: [9, 0, 3]
Strony w buforze po odwo³aniu do strony 8: [9, 0, 8]
Strony w buforze po odwo³aniu do strony 4: [9, 0, 4]
Strony w buforze po odwo³aniu do strony 9: [9, 0, 4]
Strony w buforze po odwo³aniu do strony 6: [9, 0, 6]
Strony w buforze po odwo³aniu do strony 9: [9, 0, 6]
Strony w buforze po odwo³aniu do strony 6: [9, 0, 6]
Strony w buforze po odwo³aniu do strony 2: [9, 0, 2]
Strony w buforze po odwo³aniu do strony 9: [9, 0, 2]
Strony w buforze po odwo³aniu do strony 3: [0, 2, 3]
Strony w buforze po odwo³aniu do strony 5: [0, 2, 5]
Strony w buforze po odwo³aniu do strony 6: [0, 2, 6]
Strony w buforze po odwo³aniu do strony 5: [0, 2, 5]
Strony w buforze po odwo³aniu do strony 8: [0, 2, 8]
Liczba b³êdów stron: 36
